material_number,gpl_group
94202103,Engels
21036034,All Others
52163001,All Others
0209-001-0000,Engels
0209-002-0000,All Others
0213-001-0006,All Others
311063001,All Others
0409-201-2400,All Others
0410-241-0406,All Others
0413-003-1605,All Others
0413-204-2005,All Others
0413-217-1605,All Others
418834001,All Others
0421-203-04141,All Others
0460-010-20141,All Others
0460-010-2031,All Others
0460-202-16141,All Others
0460-202-1631,All Others
0460-202-20141,All Others
0460-202-2031,All Others
0460-204-0490,All Others
0460-204-08141,All Others
0460-204-12141,All Others
0460-208-16141,All Others
0460-215-16141,All Others
0460-247-1631,All Others
0460-256-12233,All Others
0462-005-20141,All Others
0462-005-20309,All Others
0462-005-2031,All Others
0462-201-16141,All Others
0462-201-1631,All Others
0462-201-20141,All Others
0462-201-2031,All Others
0462-203-04141,All Others
0462-203-08141,All Others
0462-203-12141,All Others
0462-209-16141,All Others
0462-209-1631,All Others
0504-001-4001,DRC
0504-002-4001,DRC
0504-005-3801,DRC
0513-017-8006,All Others
0513-028-2406,All Others
0515-004-2405,All Others
0526-012-0090,All Others
0528-001-5005,All Others
0528-002-6005,All Others
0528-005-3805,All Others
0528-006-7005,All Others
0528-012-7005,All Others
0534-002-0001,DRC
063725P080,All Others
0805-202-2401,All Others
838016002,All Others
882513001,All Others
0942318R02,Engels
989076002,All Others
100283-1,All Others
100284-1,All Others
100292-1,All Others
1004-001-1600,Engels
1010-042-1206,All Others
1010-058-1206,All Others
1010-066-0406,All Others
1010-070-0606,All Others
10100945-KIT,All Others
1011-026-0205,All Others
1011-027-0805,All Others
1011-047-0605,All Others
1011-053-1205,All Others
1011-227-0205,All Others
1011-228-0205,All Others
1011-229-0205,All Others
1011-231-0305,All Others
1011-232-0305,All Others
1011-233-0305,All Others
1011-235-0405,All Others
1011-236-0405,All Others
1011-237-0405,All Others
1011-239-0605,All Others
1011-240-0605,All Others
1011-241-0605,All Others
1011-243-0805,All Others
1011-244-0805,All Others
1011-245-0805,All Others
1011-247-1205,All Others
1011-249-1205,All Others
1011-250-1205,All Others
1011-257-0205,All Others
1011-259-0305,All Others
1011-261-0305,All Others
1011-263-0405,All Others
1011-265-0405,All Others
1011-273-0205,All Others
1011-290-0805,All Others
1011-310-0205,All Others
1011-331-0205,All Others
1011-344-0205,All Others
1011-345-0305,All Others
1011-346-0405,All Others
1011-347-0605,All Others
1011-348-0805,All Others
1027-001-0800,All Others
1027-003-1200,All Others
1027-004-1200,All Others
1027-005-1200,All Others
1027-008-1200,All Others
1027-014-0800,All Others
1028-008-0405,All Others
1028-013-0805,All Others
1028-015-1205,All Others
1028-021-0205,All Others
1028-027-0405,All Others
1028-041-0205,All Others
1028-043-1205,All Others
103330-8,All Others
1034-005-0205,Engels
1034-006-0405,Engels
103639-1,All Others
1060-12-0144,S&F Pins - Size 12
1060-12-0166,S&F Pins - Size 12
1060-12-0222,S&F Pins - Size 12
1060-12-0222-PS,All Others
1060-14-0122,S&F Pins - Size 14/16 
1060-14-0144,S&F Pins - Size 14/16 
1060-16-0122,S&F Pins - Size 14/16 
1060-16-0144,S&F Pins - Size 14/16 
1060-16-0177,S&F Pins - Size 14/16 
1060-16-0622,S&F Pins - Size 14/16 
1060-16-0622-PS,All Others
1060-16-0644,S&F Pins - Size 14/16 
1060-16-0644-PS,All Others
1060-16-0677,S&F Pins - Size 14/16 
1060-16-0688,S&F Pins - Size 14/16 
1060-16-0722,S&F Pins - Size 14/16 
1060-16-0988,S&F Pins - Size 14/16 
1060-16-1222,S&F Pins - Size 14/16 
